;year_month;uf;product;unit;volume;created_at
147;2013-04-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);73727.45;2022-09-12 23:11:30.887749
148;2013-05-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);57373.929;2022-09-12 23:11:30.887749
149;2013-06-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);49852.099;2022-09-12 23:11:30.887749
150;2013-07-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);56364.687;2022-09-12 23:11:30.887749
151;2013-08-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);58276.961;2022-09-12 23:11:30.887749
152;2013-09-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);58177.23;2022-09-12 23:11:30.887749
153;2013-10-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);66354.85;2022-09-12 23:11:30.887749
154;2013-11-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);66082.208;2022-09-12 23:11:30.887749
155;2013-12-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);64451.12;2022-09-12 23:11:30.887749
156;2013-01-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);4078.0;2022-09-12 23:11:30.887749
157;2013-02-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);3535.5;2022-09-12 23:11:30.887749
158;2013-03-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);4124.0;2022-09-12 23:11:30.887749
159;2013-04-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);3771.0;2022-09-12 23:11:30.887749
160;2013-05-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);4072.003;2022-09-12 23:11:30.887749
161;2013-06-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);4019.0;2022-09-12 23:11:30.887749
162;2013-07-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);4852.5;2022-09-12 23:11:30.887749
163;2013-08-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);5242.0;2022-09-12 23:11:30.887749
164;2013-09-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);5214.57;2022-09-12 23:11:30.887749
165;2013-10-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);6391.064;2022-09-12 23:11:30.887749
166;2013-11-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);6769.0;2022-09-12 23:11:30.887749
167;2013-12-01;ALAGOAS;ÓLEO DIESEL S-10;(m3);6733.0;2022-09-12 23:11:30.887749
