ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
2013;ABR;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;62454,572
2013;MAI;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;70907,448
2013;JUN;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;72272,267
2013;JUL;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;84285,258
2013;AGO;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;92049,299
2013;SET;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;93379,884
2013;OUT;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;102297,806
2013;NOV;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;99560,431
2013;DEZ;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;92958,034
2013;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;7078
2013;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;7099
2013;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;7716
2013;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;8872
2013;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;9540
2013;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;10275
2013;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;11747,881
2013;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;13184
2013;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;13020
2013;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;15320
2013;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;14655,5
2013;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;ÓLEO DIESEL S-10;13948
2013;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;71139,001
2013;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;65754,274
2013;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;74594,983
2013;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;78911,329
2013;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;82835,67
2013;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;83487,671
2013;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;86953,5
2013;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;92614,39
2013;SET;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;90431,974
2013;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;98278,895
2013;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;94202,785
2013;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;ÓLEO DIESEL S-10;94732,917
2013;JAN;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;151757,57
2013;FEV;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;153253,221
2013;MAR;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;185821,01
2013;ABR;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;207449,331
2013;MAI;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;222614,972
